category,type,question
사업예산,사실형,이 사업의 총 예산은 얼마인가요?
사업예산,조건형,총 사업비가 1억 원 이상인 제안서만 알려주세요.
사업예산,사실형,전산개발비 항목에 얼마나 배정되었나요?
사업예산,사실형,하드웨어 장비 구입에 사용되는 금액은?
사업예산,비교형,예산 항목 중 가장 큰 비용은 무엇인가요?
사업예산,조건형,클라우드 인프라에 대한 예산이 따로 있는가요?
기술요건,사실형,구현해야 할 핵심 기능은 무엇인가요?
기술요건,사실형,데이터베이스는 어떤 종류로 설계되어 있나요?
기술요건,조건형,AI 기술이 들어가는 제안서는 무엇인가요?
기술요건,조건형,시스템 통합은 포함되어 있나요?
기술요건,조건형,기존 시스템과 연동 조건은 어떻게 되나요?
기술요건,조건형,모바일 앱 개발이 포함된 사업은 무엇인가요?
기술요건,사실형,API 제공 여부가 명시된 제안서는?
보안요건,조건형,ISMS 인증 요건이 있나요?
보안요건,조건형,개인정보 처리방침이 포함된 문서 알려줘.
보안요건,조건형,이중 인증이나 접근 제어 관련 내용이 있는가요?
보안요건,조건형,데이터 암호화는 필수 요건인가요?
보안요건,조건형,보안장비 설치 조건은 뭔가요?
계약조건,조건형,지체상금 조건이 있는 제안서 알려줘.
계약조건,조건형,하도급이 허용되지 않는 계약 조건은?
계약조건,사실형,계약 해지 조건은 어떻게 되어 있나요?
계약조건,사실형,지식재산권은 누가 소유하나요?
계약조건,조건형,단가 계약 방식이 포함된 문서가 있나요?
평가방식,사실형,이 사업은 기술 평가 몇 %인가요?
평가방식,조건형,우선협상 방식인지 알려줘.
평가방식,조건형,협상에 의한 계약인 경우만 알려줘.
평가방식,사실형,정량평가 기준은 어떻게 되나요?
평가방식,판단형,가격 점수가 낮아도 통과할 수 있나요?
일정계획,사실형,이 사업의 착수 예정일은?
일정계획,조건형,완료일까지 몇 개월이 소요되나요?
일정계획,조건형,계약 기간이 6개월 이상인 문서는?
일정계획,조건형,입찰 마감일이 9월인 문서 알려줘.
일정계획,사실형,단계별 일정 계획이 포함된 문서는?
일정계획,비교형,입찰 공고일부터 계약 체결까지의 기간이 긴 문서는?
품질요건,조건형,SLA를 명시한 문서가 있나요?
품질요건,판단형,오차 허용 범위가 좁은 사업은?
품질요건,사실형,시스템 테스트 항목은 어떤 게 있나요?
품질요건,사실형,성능 기준이 명시된 사업은?
품질요건,조건형,품질 보증 기간이 1년 이상인 사업은?
유지보수,사실형,하자 보수 기간은 얼마나 되나요?
유지보수,조건형,지속적인 운영 지원 조건이 있는 문서 알려줘.
유지보수,조건형,패치 및 백업 계획이 포함된 경우는?
유지보수,조건형,시스템 장애 시 대응 시간 기준이 있나요?
유지보수,조건형,연장 계약이 가능한 유지보수 조건은?
헬프데스크,조건형,1차 지원과 2차 지원이 구분되어 있는가요?
헬프데스크,조건형,사용자 매뉴얼 제공 의무가 있나요?
헬프데스크,사실형,헬프데스크 응답 시간 SLA는?
헬프데스크,조건형,고객지원센터 구축이 포함된 문서?
헬프데스크,조건형,문서화된 FAQ 제공 여부가 있나요?
장애대응,조건형,무중단 시스템 구축 요건이 있는가요?
장애대응,조건형,이중화 구성 조건이 명시된 사업은?
장애대응,조건형,비상 복구 절차가 포함된 문서는?
장애대응,조건형,다운타임 기준이 10분 이하인 사업은?
장애대응,조건형,장애 감지 및 자동 알림이 포함된 문서?
사업요약,사실형,이 사업의 추진 배경은 무엇인가요?
사업요약,조건형,사업 목적이 ‘데이터 수집’인 제안서는?
사업요약,조건형,수요기관이 대학인 문서만 알려줘.
사업요약,조건형,공공데이터 활용 내용이 포함된 문서는?
사업요약,판단형,기대 효과에 시민 편의 향상 언급이 있나요?
고차원질문,판단형,지체상금이 과도하게 부과된 불공정 조항은?
고차원질문,판단형,유지보수 비용이 전체 예산에서 30% 이상인 사업은?
고차원질문,판단형,평가 방식이 불합리하거나 형평성에 어긋나는 문서는?
고차원질문,판단형,기술 요건이 과도하거나 실현 불가능한 사업 제안은?
고차원질문,판단형,사용자 입장에서 이해하기 어려운 조건이 있는 문서는?
